Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6579cb4e1a6a7e24def845e6,5a1e3db26e1ea9000124ffd4,APPROVED,2023-12-13T15:20:30.243000Z,2023-12-13T15:46:21.268000Z,2023-12-13T20:19:12.281000Z,2023-12-13T15:46:21.835660Z,1552.0,CWWHERKO,134,English,English,51,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6579cb55540f1e5d484e44cb,5b773e58a1c0710001a0ebad,APPROVED,2023-12-13T15:18:52.639000Z,2023-12-13T15:39:19.734000Z,2023-12-13T20:19:12.570000Z,2023-12-13T15:39:20.242071Z,1228.0,CWWHERKO,246,English,English,36,Male,White,Canada,Canada,Canada,English,No,Unemployed (and job seeking)
6579cb5cfc02a7516a148dc5,5ea954a1550e7902833cece8,APPROVED,2023-12-13T15:18:55.635000Z,2023-12-13T15:27:43.068000Z,2023-12-13T20:19:12.794000Z,2023-12-13T15:27:43.606981Z,528.0,CWWHERKO,1073,English,"English, Japanese",22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6579cb65b43f0c0f0fe1927a,5f1e1924c9f24d7af7632e2e,APPROVED,2023-12-13T15:19:10.668000Z,2023-12-13T15:53:57.412000Z,2023-12-13T20:19:13.013000Z,2023-12-13T15:53:57.894330Z,2087.0,CWWHERKO,204,English,English,27,Male,White,Netherlands,Canada,Canada,English,Yes,Full-Time
6579cb74c0fe40c7f2e4d0bc,5b9b7d4608c0fc0001472a30,APPROVED,2023-12-13T15:19:55.387000Z,2023-12-13T15:33:46.964000Z,2023-12-13T20:19:13.252000Z,2023-12-13T15:33:47.443353Z,832.0,CWWHERKO,367,English,English,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6579cb75621bb99d32209c1e,6155f2c84aedcacc95fb188d,APPROVED,2023-12-13T15:21:36.746000Z,2023-12-13T15:37:33.516000Z,2023-12-13T20:19:13.482000Z,2023-12-13T15:37:33.895491Z,957.0,CWWHERKO,630,English,English,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6579cb8d621bb99d32209c24,62cd6fa42b0e6cf377b28655,APPROVED,2023-12-13T15:19:46.209000Z,2023-12-13T15:26:43.898000Z,2023-12-13T20:19:13.737000Z,2023-12-13T15:26:44.356089Z,418.0,CWWHERKO,165,English,English,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6579cba79b216b0a88fd4703,5f7a4d05a8da636ab1802596,APPROVED,2023-12-13T15:24:32.831000Z,2023-12-13T15:45:55.869000Z,2023-12-13T20:19:13.968000Z,2023-12-13T15:45:56.299306Z,1284.0,CWWHERKO,1438,English,English,56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6579cba857f35b2be9231829,609d22a7186f9da021fb4a70,APPROVED,2023-12-13T15:20:08.454000Z,2023-12-13T15:41:47.903000Z,2023-12-13T20:19:14.207000Z,2023-12-13T15:41:48.458957Z,1300.0,CWWHERKO,280,English,English,39,Female,White,Ireland,Ireland,Ireland,English,No,Part-Time
6579cbbd59822886ab5c5205,613f2fddaba8ab6b7099670d,APPROVED,2023-12-13T15:20:30.825000Z,2023-12-13T15:30:11.248000Z,2023-12-13T20:19:14.424000Z,2023-12-13T15:30:11.841537Z,581.0,CWWHERKO,190,English,"English, Gaelic",35,Female,White,Ireland,Ireland,Ireland,English,No,Full-Time
6579cbd799a176af9012e8ea,654df6342c7a6923f3c48bec,APPROVED,2023-12-13T15:20:55.624000Z,2023-12-13T15:32:51.513000Z,2023-12-13T20:19:14.664000Z,2023-12-13T15:32:52.020253Z,716.0,CWWHERKO,18,English,English,29,Female,Black,United States,New Zealand,United States,English,No,Full-Time
6579cbdce009ba99ac2c2acb,60913cbca130a7ac8eb2fae8,APPROVED,2023-12-13T15:21:00.393000Z,2023-12-13T15:34:43.416000Z,2023-12-13T20:19:14.885000Z,2023-12-13T15:34:43.877459Z,824.0,CWWHERKO,170,English,"Afrikaans, English",25,Male,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time
6579cbe2fc02a7516a148dd7,5edf8803c008532459792282,APPROVED,2023-12-13T15:21:06.977000Z,2023-12-13T15:48:18.051000Z,2023-12-13T20:19:15.149000Z,2023-12-13T15:48:18.527710Z,1632.0,CWWHERKO,1100,English,English,39,Male,White,Sweden,Australia,Australia,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6579cbf1eba1dcddfdcf4d69,6060b63e4ccfcf7b44479d8b,APPROVED,2023-12-13T15:21:21.738000Z,2023-12-13T15:47:57.893000Z,2023-12-13T20:19:15.376000Z,2023-12-13T15:47:58.494307Z,1597.0,CWWHERKO,365,"Afrikaans, English","Afrikaans, English",21,Male,Mixed,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
6579cbfc40431b027b4cf914,59d9cea2e2762800015eb791,APPROVED,2023-12-13T15:21:36.032000Z,2023-12-13T15:31:55.515000Z,2023-12-13T20:19:15.589000Z,2023-12-13T15:31:56.005756Z,620.0,CWWHERKO,1494,English,English,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6579cbfc90e95bcbce5be761,6384f88517c736ff7718bd5f,APPROVED,2023-12-13T15:21:32.327000Z,2023-12-13T15:35:50.015000Z,2023-12-13T20:19:15.824000Z,2023-12-13T15:35:50.520335Z,858.0,CWWHERKO,418,English,English,49,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6579cbfd923c79882e158edf,653bd17a6e76e26b4d834861,APPROVED,2023-12-13T15:21:37.666000Z,2023-12-13T15:37:18.660000Z,2023-12-13T20:19:16.042000Z,2023-12-13T15:37:19.121290Z,941.0,CWWHERKO,71,English,English,35,Female,White,Canada,Canada,Canada,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6579cc13c0fe40c7f2e4d0dd,656b3ab2c5463c1ed2f2b49b,APPROVED,2023-12-13T15:21:58.578000Z,2023-12-13T16:10:23.686000Z,2023-12-13T20:19:16.264000Z,2023-12-13T16:10:24.181893Z,2906.0,CWWHERKO,3,English,English,26,Male,White,Ireland,Ireland,Ireland,English,No,Full-Time
6579cc15b43f0c0f0fe192b0,63469f35701f6b1eb1e76b1f,APPROVED,2023-12-13T15:22:02.804000Z,2023-12-13T15:38:56.775000Z,2023-12-13T20:19:16.493000Z,2023-12-13T15:38:57.281992Z,1014.0,CWWHERKO,664,English,English,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6579cc2e44bf516ba397a347,613231c7b264c7a16314d253,APPROVED,2023-12-13T15:22:29.897000Z,2023-12-13T15:31:55.942000Z,2023-12-13T20:19:16.750000Z,2023-12-13T15:31:56.389064Z,567.0,CWWHERKO,562,English,English,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6579cc355cfca1275087024b,5873b2d22bd3c90001859b76,APPROVED,2023-12-13T15:22:29.730000Z,2023-12-13T16:01:47.364000Z,2023-12-13T20:19:17.013000Z,2023-12-13T16:01:47.972409Z,2358.0,CWWHERKO,2101,English,English,45,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6579cc3d41dd4c2bba718364,5c604a82001e3400014515f2,APPROVED,2023-12-13T15:22:42.099000Z,2023-12-13T15:46:31.888000Z,2023-12-13T20:19:17.277000Z,2023-12-13T15:46:32.342557Z,1430.0,CWWHERKO,247,English,English,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
6579cc41ed19c846eb0a44d4,5c60adbd4fde3d00014748bf,APPROVED,2023-12-13T15:24:44.777000Z,2023-12-13T15:47:23.313000Z,2023-12-13T20:19:17.504000Z,2023-12-13T15:47:23.720820Z,1359.0,CWWHERKO,686,English,English,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6579cc48533fabd6ca19d650,5cee747068258f001931507c,APPROVED,2023-12-13T15:22:48.480000Z,2023-12-13T15:37:57.763000Z,2023-12-13T20:19:17.737000Z,2023-12-13T15:37:58.278228Z,910.0,CWWHERKO,897,"English, French","English, French, Turkish",42,Male,White,Turkey,France,France,English,No,Full-Time
6579cc4957f35b2be923185c,5dc583731173bb3faa5c0519,APPROVED,2023-12-13T15:22:53.914000Z,2023-12-13T15:33:58.476000Z,2023-12-13T20:19:17.968000Z,2023-12-13T15:33:58.893425Z,665.0,CWWHERKO,303,English,English,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6579cc4a77d3938db497933a,6141f62294ff9bf9d89e8897,APPROVED,2023-12-13T15:22:54.904000Z,2023-12-13T15:33:53.211000Z,2023-12-13T20:19:18.273000Z,2023-12-13T15:33:53.730782Z,659.0,CWWHERKO,921,English,English,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
6579cc5151409f4838fc10a0,5ad23186d9f7470001db1a6f,APPROVED,2023-12-13T15:23:04.179000Z,2023-12-13T15:37:11.624000Z,2023-12-13T20:19:18.550000Z,2023-12-13T15:37:12.198263Z,848.0,CWWHERKO,914,English,English,42,Female,White,Ireland,United Kingdom,Ireland,English,No,Full-Time
